Column1,Column2
"Apartament 2 camere Finisat, Mobilat si Dotat, cu CF",https://www.olx.ro/oferta/apartament-2-camere-finisat-mobilat-si-dotat-cu-cf-IDcvz9X.html#1a789d23bd
"OPORTUNITATE! 2 camere, 54 mp, zona Donath Park",https://www.olx.ro/oferta/oportunitate-2-camere-54-mp-zona-donath-park-IDc4JTN.html#1a789d23bd
"Constructor vand apartamente in Cluj, in spatele Vivo mall, 0 comision",https://www.olx.ro/oferta/constructor-vand-apartamente-in-cluj-in-spatele-vivo-mall-0-comision-IDcfWFs.html#1a789d23bd
"Apartament 2 camere,decomandat,46 mp,etaj intermediar, zona...",https://www.olx.ro/oferta/apartament-2-camere-decomandat-46-mp-etaj-intermediar-zona-IDcbpsE.html#1a789d23bd
Persoana fizica Vind 2 camere Tautului,https://www.olx.ro/oferta/persoana-fizica-vind-2-camere-tautului-ID8tCnW.html#1a789d23bd
Vand apartament 2 camere zona Iris,https://www.olx.ro/oferta/vand-apartament-2-camere-zona-iris-IDcqLUL.html#1a789d23bd
Apartament cu 2 camere 52mp,https://www.olx.ro/oferta/apartament-cu-2-camere-52mp-IDcJTnO.html#1a789d23bd
Vanzare apartament in imobil nou zona Europa,https://www.olx.ro/oferta/vanzare-apartament-in-imobil-nou-zona-europa-IDcz50m.html#1a789d23bd
"Apartament cu 3 camere de vânzare, Baciu",https://www.olx.ro/oferta/apartament-cu-3-camere-de-vanzare-baciu-IDcISHl.html#1a789d23bd
"Apartam 3 camere, 65 mp, zona Dorobantilor",https://www.olx.ro/oferta/apartam-3-camere-65-mp-zona-dorobantilor-IDcPDtj.html#1a789d23bd
"Apartament 3 camere, 56mp, zona strazii Ioan Rus, Floresti",https://www.olx.ro/oferta/apartament-3-camere-56mp-zona-strazii-ioan-rus-floresti-IDcHbfy.html#1a789d23bd
Pf Vand Apartament 2 camere 55 +terasa 20 mp Bloc nou 37800!!,https://www.olx.ro/oferta/pf-vand-apartament-2-camere-55-terasa-20-mp-bloc-nou-37800-IDcPqsh.html#1a789d23bd
"Apartament 2 camere, Calea Baciului, zona Petrom, Comision 0%",https://www.olx.ro/oferta/apartament-2-camere-calea-baciului-zona-petrom-comision-0-IDcei7w.html#1a789d23bd
Apartament 2 camere decomandate! Zona linistita! Bloc cu LIFT!,https://www.olx.ro/oferta/apartament-2-camere-decomandate-zona-linistita-bloc-cu-lift-IDc730p.html#1a789d23bd
Vand apartament,https://www.olx.ro/oferta/vand-apartament-IDceLgz.html#1a789d23bd
"VA2 78159, Apartament unic, 2 camere, 53 mp utili, Floresti",https://www.olx.ro/oferta/va2-78159-apartament-unic-2-camere-53-mp-utili-floresti-IDbLzg6.html#1a789d23bd
Apartament cu 2 camere in Florești,https://www.olx.ro/oferta/apartament-cu-2-camere-in-floresti-ID8gKml.html#1a789d23bd
Apartament 2 camere decomandate! Zona buna! BONUS parcare!,https://www.olx.ro/oferta/apartament-2-camere-decomandate-zona-buna-bonus-parcare-IDc72W5.html#1a789d23bd
"Apartamente 3 camere, 54-58mp+balcom - zona Petrom",https://www.olx.ro/oferta/apartamente-3-camere-54-58mp-balcom-zona-petrom-IDcORoI.html#1a789d23bd
"Teren, de vânzare, în Baciu",https://www.olx.ro/oferta/teren-de-vanzare-in-baciu-IDbROOE.html#1a789d23bd
